,product,alt_name,PFAM,GO_function,GO_process,GO_component,TransMembrane,SECRETED,antiSMASH,MEROPS,EggNog,COG,BUSCO,CAZy,SMCOG,CPSG,CiRS,WT.S/WT.H,p(WT.S/WT.H),Cp_S/Cp_H,p(Cp_S/Cp_H),Beyhan_exp,Whiston_exp
D8B26_007046,hypothetical protein,,,,,,,,,,ENOG410PXXJ,,,,,,,,,,,,
D8B26_007047,hypothetical protein,,,,,,,,,,ENOG410PZFF,,,,,,,,,,,,
D8B26_007048,hypothetical protein,,,,,,,,,,,,,,,CPSG_09153,,1.56291846405908,0.00686913406246672,,1.0,spherule_upreg,
D8B26_007049,hypothetical protein,,PF00005, GO:0005524 - ATP binding; GO:0016887 - ATPase activity,, GO:0016021 - integral component of membrane,,,,,ENOG41KOG0056,Q,,,,,,,,,,,
D8B26_007050,hypothetical protein,,,,,,1 (i151-169o),,,,ENOG410Q5FD,,,,,,,,,,,,
D8B26_007051,hypothetical protein,,,,,,,,,,ENOG410Q5AE,,,,,CPSG_09156,CIMG_13517,1.69586632615044,0.00323989590788919,2.60537156684767,2.72224911279102e-05,spherule_upreg,spherule_upreg
D8B26_007052,hypothetical protein,,, GO:0008080 - N-acetyltransferase activity,,,,,,,ENOG410PP6U,,,,,CPSG_09157,CIMG_09940,0.254086143861944,0.413559490180354,1.03309521005645,0.000355608247387403,no upreg,spherule_upreg
D8B26_007053,hypothetical protein,,PF05699, GO:0046983 - protein dimerization activity,,,,,,,ENOG410PY1H,L,,,,,,,,,,,
D8B26_007054,hypothetical protein,,,,,,,,,,ENOG410PZDH,,8504at33183,,,CPSG_10018,CIMG_09958,0.472522530518158,0.332946335421314,-0.162804856045489,0.543633982844848,no upreg,no upreg
D8B26_007055,TIM23 complex component,PAM17,PF08566,,," GO:0001405 - PAM complex, Tim23 associated import motor",2 (i153-173o193-217i),,,,ENOG410PMZU,U,416039at4751,,,CPSG_10019,,-1.08416460955688,0.0281034359150946,,1.0,hyphae_upreg,
D8B26_007056,hypothetical protein,,PF04750,,, GO:0016021 - integral component of membrane,5 (o16-39i51-70o90-108i115-134o154-179i),,,,ENOG410PN85,W,,,,CPSG_10021,CIMG_12464,-0.270250093628194,0.18836113301657,-0.24608259505453,0.414271345194564,no upreg,no upreg
D8B26_007057,hypothetical protein,,PF12223,,,,,,,,ENOG410PS43,S,,,,CPSG_10022,CIMG_09960,1.23328530347493,0.000783822903794422,0.882350760190879,0.00788046991720162,spherule_upreg,no upreg
D8B26_007058,hypothetical protein,,PF11951,,,,,,,,ENOG410PJM7,S,,,,CPSG_10023,CIMG_09961,0.0162723741005815,0.938795615090665,-1.94690899816259,4.46899207571206e-06,no upreg,hyphae_upreg
D8B26_007059,Velvet complex subunit ryp3,RYP3,PF11754,,,,,,,,ENOG410PHB7,S,10509at33183,,,CPSG_10062,CIMG_09962,-0.0693034391363208,0.779566542468265,-1.6092230996247,5.53724458524742e-06,no upreg,hyphae_upreg
D8B26_007060,hypothetical protein,,PF05368;PF13460,,,,,,,,ENOG410PW89,"G,M",10129at33183,,,CPSG_10063,CIMG_09963,1.05240762912896,0.00167670630556497,0.578480327226735,0.00808465945858094,spherule_upreg,no upreg
D8B26_007061,hypothetical protein,,PF01738, GO:0016787 - hydrolase activity,,,,,,,ENOG410PPKF,Q,12921at33183,,,CPSG_10064,CIMG_09964,-1.70136261078023,0.00423776722237467,-0.0539824368750761,0.880993356396587,hyphae_upreg,no upreg
D8B26_007062,hypothetical protein,,PF02201;PF08766, GO:0005515 - protein binding,,,,,,,ENOG410PNS5,K,13625at33183,,,CPSG_10065,CIMG_09965,-0.487630989171039,0.0778775658720388,-0.765170216076759,0.00112029650548802,no upreg,no upreg
D8B26_007063,Translation initiation factor 3 subunit b,PRT1,PF00076;PF08662, GO:0003676 - nucleic acid binding; GO:0005515 - protein binding; GO:0031369 - translation initiation factor binding; GO:0003743 - translation initiation factor activity; GO:0003723 - RNA binding, GO:0006413 - translational initiation, GO:0005852 - eukaryotic translation initiation factor 3 complex,,,,,ENOG410PGHS,J,50786at4751;2080at33183,,,CPSG_10066,CIMG_09966,0.101089061346384,0.795646606149853,0.147582022541728,0.47755963745971,no upreg,no upreg
D8B26_007064,hypothetical protein,,PF00903,,,,,,,,ENOG410PSV0,S,,,,CPSG_10068,CIMG_09967,2.07361439563429,0.00161891673529178,2.12061403080783,4.18976578757483e-07,spherule_upreg,spherule_upreg
D8B26_007065,hypothetical protein,,PF00450, GO:0004185 - serine-type carboxypeptidase activity, GO:0006508 - proteolysis,,,,,MER0002010,ENOG410PFU0,"E,O",,,,CPSG_10069,CIMG_09968,2.77732395414785,0.0001441830644291,,1.0,spherule_upreg,
D8B26_007066,hypothetical protein,,PF04082, GO:0003677 - DNA binding; GO:0008270 - zinc ion binding," GO:0006351 - transcription, DNA-templated", GO:0005634 - nucleus,,,,,ENOG410Q5JG,K,,,,,,,,,,,
D8B26_007067,hypothetical protein,,,,,,,,,,ENOG410Q5JG,K,,,,,,,,,,,
D8B26_007068,hypothetical protein,,,,,,,,,,,,,,,CPSG_10072,CIMG_12470,1.52612321392633,0.10830091190764,1.67600234555364,0.0280275902539772,no upreg,spherule_upreg
D8B26_007069,hypothetical protein,,PF02714;PF12621;PF13967;PF14703,,, GO:0016020 - membrane,11 (o54-77i140-163o183-201i376-405o425-449i470-495o515- 544i556-575o581-603i632-649o655-673i),,,,ENOG410PV80,S,1638at33183,,,CPSG_10073,CIMG_09970,0.186950722733179,0.315500748613341,-1.49851994108758,2.14369460679381e-06,no upreg,hyphae_upreg
D8B26_007070,hypothetical protein,,PF13920,,,,,,,,ENOG410PKRG,O,4147at33183,,,CPSG_10075,CIMG_09971,-0.149364530865677,0.588627562830343,0.273710730239353,0.107770404833696,no upreg,no upreg
D8B26_007071,MutS protein msh4,MSH4,PF00488;PF05188;PF05190;PF05192, GO:0030983 - mismatched DNA binding; GO:0005524 - ATP binding, GO:0006298 - mismatch repair,,,,,,ENOG410PIRB,L,1889at33183,,,CPSG_10076,CIMG_09972,2.96982276985811,0.000189889767638786,2.16381688221411,3.23569468060026e-06,spherule_upreg,spherule_upreg
D8B26_007072,hypothetical protein,,PF00400;PF12894, GO:0005515 - protein binding,,,,,,,ENOG410PGEI,S,4366at33183,,,CPSG_10077,CIMG_09973,-0.446729246045324,0.105860136215922,-0.706893493209478,0.000844249617162688,no upreg,no upreg
D8B26_007073,hypothetical protein,,PF00188,,,,1 (n3-13c18/19o194-213i),SignalP(1-18),,,ENOG410PMWK,S,,,,CPSG_10078,CIMG_12472,2.11937177053039,0.000858214081101247,2.57337717709767,3.05832493108227e-05,spherule_upreg,spherule_upreg
D8B26_007074,"F-box protein: endocytic membrane traffic, recycling ReCYcling 1",RCY1,PF00646;PF07393;PF12937, GO:0005515 - protein binding, GO:0006887 - exocytosis, GO:0005737 - cytoplasm,,,,,ENOG410PGCX,U,305061at4751;1765at33183,,,CPSG_10079,CIMG_12473,-0.201550631503303,0.294281621734913,0.529354972825141,0.0533756920297356,no upreg,no upreg
D8B26_007075,Pachytene checkpoint protein 2,TRIP13,PF00004, GO:0005524 - ATP binding,,,,,,,ENOG41KOG0744,O,6551at33183,,,CPSG_10080,CIMG_09975,0.253285688218344,0.660804681261183,-0.197792467546356,0.714780701589069,no upreg,no upreg
D8B26_007076,cytochrome c1,CYT1,PF02167, GO:0020037 - heme binding; GO:0009055 - electron transfer activity,,,2 (o40-61i278-296o),,,,ENOG410PFPG,C,389565at4751,,,CPSG_10081,,-0.532090166913662,0.0574530699801861,1.07034896973101,0.000864659692371414,no upreg,spherule_upreg
D8B26_007077,hypothetical protein,,, GO:0003839 - gamma-glutamylcyclotransferase activity,,,1 (o327-351i),,,,ENOG410PNER,S,10801at33183,,,CPSG_10082,CIMG_09977,-1.18325434832607,0.00544649212369491,,1.0,hyphae_upreg,
D8B26_007078,hypothetical protein,,,,,,,,,,ENOG410Q555,,744at33183,,,CPSG_10083,CIMG_09978,-0.516658545010826,0.110925745134019,0.800368225363382,0.00491818108860538,no upreg,no upreg
D8B26_007079,Phospho-2-dehydro-3-deoxyheptonate aldolase amt16,AMT16_1,PF00793, GO:0003824 - catalytic activity; GO:0003849 - 3-deoxy-7-phosphoheptulonate synthase activity, GO:0009058 - biosynthetic process; GO:0009073 - aromatic amino acid family biosynthetic process,,,,,,ENOG410PG9I,E,8212at33183,,,CPSG_10084,CIMG_09979,1.0173328467619,0.0603206077575499,0.347225794610504,0.306625039698974,no upreg,no upreg
D8B26_007080,hypothetical protein,,PF02714;PF13967;PF14703,,, GO:0016020 - membrane,11 (n2-12c20/21o44-63i123-146o191-210i446-470o500-519i540- 564o591-617i638-658o664-682i703-723o729-749i),,,,ENOG410PH8S,S,1872at33183,,,CPSG_10085,CIMG_09980,1.24447018735253,0.00253102310865721,0.600313066632713,0.0229453503558401,spherule_upreg,no upreg
D8B26_007081,hypothetical protein,,PF06202;PF14699;PF14701;PF14702," GO:0004134 - 4-alpha-glucanotransferase activity; GO:0004135 - amylo-alpha-1,6-glucosidase activity; GO:0003824 - catalytic activity", GO:0005978 - glycogen biosynthetic process; GO:0005980 - glycogen catabolic process,,,,,,ENOG410PHNJ,G,23198at4751;284at33183,GH133,,CPSG_10086,CIMG_09981,0.335421500515498,0.342138637923892,0.268363180574343,0.336246543866801,no upreg,no upreg
D8B26_007082,hypothetical protein,,PF15341,," GO:0000462 - maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"," GO:0005730 - nucleolus; GO:0030688 - preribosome, small subunit precursor; GO:0030686 - 90S preribosome",,,,,ENOG410PRBD,S,15969at33183,,,CPSG_10087,CIMG_09983,0.497353572763118,0.0939178340014597,0.843934696302585,0.00202935518271788,no upreg,no upreg
D8B26_007083,glycerol-3-phosphate dehydrogenase,GPD1,PF01210;PF07479," GO:0004367 - glycerol-3-phosphate dehydrogenase [NAD+] activity; GO:0016491 - oxidoreductase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0051287 - NAD binding", GO:0055114 - oxidation-reduction process; GO:0006072 - glycerol-3-phosphate metabolic process; GO:0005975 - carbohydrate metabolic process; GO:0046168 - glycerol-3-phosphate catabolic process, GO:0009331 - glycerol-3-phosphate dehydrogenase complex,,,,,ENOG410PHMP,C,6849at33183,,,CPSG_10088,CIMG_09984,-0.541009813550075,0.0304829078672805,-1.23256116160785,3.670801258876e-05,no upreg,hyphae_upreg
D8B26_007084,Urmylation protein,UBA4,PF00581;PF00899, GO:0008641 - ubiquitin-like modifier activating enzyme activity; GO:0004792 - thiosulfate sulfurtransferase activity, GO:0002143 - tRNA wobble position uridine thiolation, GO:0005829 - cytosol,,,,,ENOG410PFVS,H,315639at4751;9658at33183,,,CPSG_10089,CIMG_13526,0.40527324464372,0.0921068417631849,0.0440654407998187,0.820815890709829,no upreg,no upreg
D8B26_007085,hypothetical protein,,PF03330,,,,1 (i103-125o),,,,ENOG410PRCC,S,,,,CPSG_10090,CIMG_09985,-1.59237773182033,0.00711612077420661,-2.02923891904022,1.17292066524843e-05,hyphae_upreg,hyphae_upreg
D8B26_007086,hypothetical protein,,,,,,,,,,ENOG410PJ8S,S,,,,CPSG_04401,,1.70393305907487,0.0102402532125975,1.04963793570198,0.0604702653697723,spherule_upreg,no upreg
D8B26_007087,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_007088,hypothetical protein,,,,,,,,,,ENOG410Q59P,,,,,CPSG_04403,CIMG_09992,2.33854176060029,0.000703814952097453,1.3545839585334,0.000873859872477735,spherule_upreg,spherule_upreg
D8B26_007089,hypothetical protein,,,,,,,,,,ENOG410PI2E,S,,,,CPSG_04404,CIMG_09993,-0.966509156175395,0.00207938035160409,-0.52734719503438,0.0117203765685104,no upreg,no upreg
D8B26_007090,hypothetical protein,,,,,,,,,,ENOG410Q580,T,,,,,,,,,,,
D8B26_007091,hypothetical protein,,,,,,,,,,ENOG410PH18,S,1551at33183,,,CPSG_04407,CIMG_09996,0.730561976209515,0.166191527747305,1.5202913636606,0.00240191329626011,no upreg,spherule_upreg
D8B26_007092,hypothetical protein,,PF01738, GO:0016787 - hydrolase activity,,,,,,,ENOG410PKK4,Q,11163at33183,,,CPSG_04408,,-0.490232186693688,0.0567542302870324,0.674442043435759,0.0127340468763917,no upreg,no upreg
D8B26_007093,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_007094,hypothetical protein,,PF00172," GO:0000981 - DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0008270 - zinc ion binding"," GO:0006355 - regulation of transcription, DNA-templated", GO:0042025 - host cell nucleus,,,,,ENOG410PQE0,S,8688at33183,,,CPSG_04409,CIMG_09999,1.79536615323373,0.149280638653913,-4.19898524461247,6.0329936732374e-05,no upreg,hyphae_upreg
D8B26_007095,hypothetical protein,,, GO:0005515 - protein binding,,,,,,,ENOG410Q59Y,,,,,CPSG_04412,CIMG_10002,2.48168400632312,0.00132207295735373,3.21077294719786,1.45988247589282e-06,spherule_upreg,spherule_upreg
D8B26_007096,hypothetical protein,,PF00320, GO:0043565 - sequence-specific DNA binding; GO:0008270 - zinc ion binding; GO:0003700 - DNA-binding transcription factor activity," GO:0006355 - regulation of transcription, DNA-templated",,,,,,ENOG410PS1G,K,1991at33183,,,CPSG_04415,CIMG_10005,0.487282153305636,0.0968502678398558,-0.113197741445512,0.691148705788118,no upreg,no upreg
D8B26_007097,hypothetical protein,,PF00096;PF13894,,,,,,,,ENOG410PP1I,K,,,,CPSG_04423,CIMG_10011,2.41502845143385,0.000425787176272145,0.192992113207673,0.443757981818337,spherule_upreg,no upreg
D8B26_007098,hypothetical protein,,,,,,,,,,ENOG410PSZT,,,,,CPSG_04424,,1.04636961850683,0.0544445882489338,0.493020479004177,0.0320628255248538,no upreg,no upreg
D8B26_007099,hypothetical protein,,,,,,,SignalP(1-29),,,,,,,,CPSG_04426,CIMG_10015,3.06326760732873,0.00919979879897024,,1.0,spherule_upreg,
D8B26_007100,hypothetical protein,,PF00350;PF01926, GO:0005525 - GTP binding; GO:0003924 - GTPase activity,,,,,,,ENOG410PKHT,U,,,,CPSG_04427,CIMG_10016,-3.84125562479586,0.000465529677238925,-1.16773060315868,5.63512918003827e-05,hyphae_upreg,hyphae_upreg
D8B26_007101,hypothetical protein,,PF02133, GO:0022857 - transmembrane transporter activity, GO:0055085 - transmembrane transport, GO:0016020 - membrane,13 (o38-57i69-94o100-120i127-150o170-187i194-216o236-255i276- 306o326-346i367-385o391-415i436-457o477-496i),,,,ENOG410PGDU,P,,,,CPSG_04428,CIMG_10017,-2.4118405510654,0.0785773895833952,,1.0,no upreg,
D8B26_007102,hypothetical protein,,PF01968;PF05378;PF06032, GO:0016787 - hydrolase activity,,,,,,,ENOG410PGKT,E,,,,CPSG_04430,CIMG_10019,-1.62360575505181,0.0442454184761618,-0.305810419095334,0.231451680021025,hyphae_upreg,no upreg
D8B26_007103,hypothetical protein,,PF00282, GO:0004351 - glutamate decarboxylase activity; GO:0030170 - pyridoxal phosphate binding; GO:0003824 - catalytic activity; GO:0016831 - carboxy-lyase activity, GO:0006536 - glutamate metabolic process; GO:0019752 - carboxylic acid metabolic process,,,,,,ENOG410PGV1,E,4809at33183,,,CPSG_04431,CIMG_10020,2.93679589025388,0.0013796415772434,2.44987601183018,0.000910642287439017,spherule_upreg,spherule_upreg
D8B26_007104,hypothetical protein,,PF00172;PF11951," GO:0000981 - DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0008270 - zinc ion binding"," GO:0006355 - regulation of transcription, DNA-templated", GO:0042025 - host cell nucleus,,,,,ENOG410PGT5,S,2347at33183,,,CPSG_04432,CIMG_10021,0.293845188574259,0.520679958777661,0.570434891077277,0.0597239316457335,no upreg,no upreg
D8B26_007105,hypothetical protein,,PF12511,,,,,,,,ENOG410PTDZ,S,,,,,,,,,,,
D8B26_007106,hypothetical protein,,PF05899;PF06249,,,,,,,,ENOG410PP8H,S,,,,CPSG_04435,CIMG_10024,-3.83364062555676,0.0253026077170001,2.94190477103023,0.000144828530115349,hyphae_upreg,spherule_upreg
D8B26_007107,hypothetical protein,,PF00069;PF07714, GO:0005524 - ATP binding; GO:0004672 - protein kinase activity; GO:0004674 - protein serine/threonine kinase activity, GO:0006468 - protein phosphorylation,,,,,,ENOG410PI9E,T,247129at4751;3032at33183,,,CPSG_04437,CIMG_10025,-0.286122328708037,0.292219289111114,-0.217760299994547,0.36247139218128,no upreg,no upreg
D8B26_007108,hypothetical protein,,PF07955, GO:0016491 - oxidoreductase activity, GO:0055114 - oxidation-reduction process, GO:0005739 - mitochondrion,,,,,ENOG410PQYA,S,16230at33183,,,CPSG_04438,CIMG_10026,0.476316494914915,0.273986572533213,2.06402819965523,7.86272065870851e-07,no upreg,spherule_upreg
D8B26_007109,hypothetical protein,,,,,,3 (o73-92i99-118o124-157i),,,,ENOG410Q055,,,,,CPSG_04439,,-0.886552831139275,0.0777271688895702,-2.2481708106289,0.00770741076385242,no upreg,hyphae_upreg
D8B26_007110,N-acetylglucosaminyltransferase,GNT1,, GO:0008375 - acetylglucosaminyltransferase activity, GO:0006487 - protein N-linked glycosylation, GO:0005794 - Golgi apparatus,1 (i21-41o),,,,ENOG410PIS8,G,,GT8,,CPSG_04442,CIMG_10029,-0.882051501052573,0.00326974689150999,-1.58366402544128,5.92745949392407e-06,no upreg,hyphae_upreg
D8B26_007111,hypothetical protein,,PF00172;PF04082," GO:0000981 - DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0008270 - zinc ion binding; GO:0003677 - DNA binding"," GO:0006355 - regulation of transcription, DNA-templated; GO:0006351 - transcription, DNA-templated", GO:0042025 - host cell nucleus; GO:0005634 - nucleus,,,,,ENOG410PW4H,K,,,,CPSG_04443,CIMG_10030,-0.297502728383011,0.458440012306497,0.803906909413755,0.0265607618625057,no upreg,no upreg
D8B26_007112,hypothetical protein,,,,,,,,,,ENOG410PQYN,S,,,,,,,,,,,
D8B26_007113,hypothetical protein,,PF02230, GO:0016787 - hydrolase activity,,,,,,MER0209507,ENOG410PPHI,I,11813at33183,,,CPSG_04448,CIMG_12486,-0.167987293092069,0.500757235150666,-0.240710215925302,0.483879378114203,no upreg,no upreg
D8B26_007114,hypothetical protein,,,,,,,SignalP(1-19),,,ENOG410PWXE,O,15163at33183,,,CPSG_04449,CIMG_10032,-2.76249985349278,0.00329166860683306,-1.91120292249948,0.00107680905428909,hyphae_upreg,hyphae_upreg
D8B26_007115,hypothetical protein,,PF04145, GO:0005375 - copper ion transmembrane transporter activity, GO:0035434 - copper ion transmembrane transport, GO:0016021 - integral component of membrane,3 (o50-70i144-162o168-187i),,,,ENOG410PQ4J,P,15538at33183,,,CPSG_04450,CIMG_10037,-0.72702714978432,0.261540583572412,-0.557550193794013,0.160101395842918,no upreg,no upreg
D8B26_007116,hypothetical protein,,PF01794;PF08022;PF08030, GO:0016491 - oxidoreductase activity, GO:0055114 - oxidation-reduction process,,7 (o27-49i105-123o143-164i176-196o216-233i240-260o266-288i),,,,ENOG410PHKD,"P,Q",3340at33183,,,CPSG_04451,CIMG_10038,-1.89995706869468,0.0131544371689174,-0.891938363617763,0.0157570574062853,hyphae_upreg,no upreg
D8B26_007117,hypothetical protein,,PF00106;PF08659;PF13561,,,,,,,,ENOG410PHDJ,Q,,,,CPSG_04452,CIMG_10039,3.14090343548044,0.000603918028945027,2.67521291380751,4.185260834991e-07,spherule_upreg,spherule_upreg
D8B26_007118,Nascent polypeptide-associated complex subunit beta,EGD1,PF01849,,,,,,,,ENOG410PPVK,K,15555at33183,,,CPSG_04453,CIMG_10040,-0.0446409695613887,0.905338999376065,0.157299754445166,0.351968418425207,no upreg,no upreg
D8B26_007119,hypothetical protein,,,,,,,,,,ENOG410PI0W,S,8039at33183,,,CPSG_04455,CIMG_10042,-0.277312070710001,0.259183871241014,0.645429265845673,0.0209621016708697,no upreg,no upreg
D8B26_007120,acid phosphatase pho5,PHO5_2,PF00328,,,,,,,,ENOG410PHNG,S,,,,CPSG_04456,CIMG_10043,-0.931181234266869,0.015868862909902,-1.7186394677475,2.36144454605896e-05,no upreg,hyphae_upreg
D8B26_007121,hypothetical protein,,PF01494;PF07976, GO:0071949 - FAD binding,,,,,,,ENOG410PG2K,"C,H",,,,CPSG_04459,CIMG_10045,-3.17868401706697,0.0101440262451931,-0.0822034607839992,0.838152519462335,hyphae_upreg,no upreg
D8B26_007122,hypothetical protein,,,,,,1 (o20-43i),,,,,,,,,,,,,,,,
D8B26_007123,hypothetical protein,,PF00096,,,,,,,,ENOG410PS2T,K,12395at33183,,,CPSG_04467,CIMG_10049,-0.562702488293534,0.0161391538655079,-0.457924542874383,0.162682369845028,no upreg,no upreg
D8B26_007124,hypothetical protein,,PF00023;PF00651;PF13637, GO:0005515 - protein binding,,,,,,,ENOG410PGYX,S,3796at33183,,,CPSG_04468,CIMG_10050,0.30875895616154,0.358645246071454,1.68485381570274,7.15011779601234e-05,no upreg,spherule_upreg
D8B26_007125,G2-specific serine/threonine protein kinase,KIN3,, GO:0005524 - ATP binding; GO:0004672 - protein kinase activity, GO:0006468 - protein phosphorylation,,,,,,ENOG410PIY3,T,2481at33183,,,CPSG_04469,CIMG_10051,-2.26939824569914,0.000335687411365788,-2.03021196921201,1.2953308639236e-06,hyphae_upreg,hyphae_upreg
D8B26_007126,hypothetical protein,,,,,,,,,,ENOG410PM8E,,,,,,,,,,,,
D8B26_007127,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_007128,hypothetical protein,,,,,,,,,,ENOG410PXU5,,,,,,,,,,,,
D8B26_007129,hypothetical protein,,PF09429,, GO:0006396 - RNA processing,,,,,,ENOG410PIJW,S,14783at33183,,,CPSG_04472,CIMG_10053,0.178214885918638,0.333155912877968,0.253732231280163,0.179010744783346,no upreg,no upreg
D8B26_007130,hypothetical protein,,,,, GO:0031083 - BLOC-1 complex,,,,,ENOG410PSSC,S,15279at33183,,,CPSG_04473,CIMG_10054,0.344688338046938,0.151681309841375,0.79603033229558,0.00787955865042791,no upreg,no upreg
D8B26_007131,hypothetical protein,,PF04032,,,,,,,,ENOG410PPSK,S,14812at33183,,,CPSG_04474,CIMG_10055,0.311060027800776,0.329382809695401,1.79513849118169,4.19939952357798e-06,no upreg,spherule_upreg
D8B26_007132,Suppressor of the cold-sensitive snRNP biogenesis mutant brr1-1,SUB2_2,PF00270;PF00271;PF04851, GO:0005524 - ATP binding; GO:0003676 - nucleic acid binding,,,,,,,ENOG410PGTN,A,6401at33183,,,CPSG_04475,CIMG_10056,0.0533857605780401,0.826686741597946,0.160699394579853,0.490130143440089,no upreg,no upreg
D8B26_007133,hypothetical protein,,PF01764,, GO:0006629 - lipid metabolic process,,,,,,ENOG410IU96,S,776at33183,,,CPSG_04476,CIMG_10061,0.159939504638915,0.508226074939792,0.169258822436502,0.33686214565743,no upreg,no upreg
D8B26_007134,hypothetical protein,,,,,,,,,,ENOG410PV32,S,,,,CPSG_04477,CIMG_02730,2.59175397535271,0.00091178281902178,1.51704595755626,5.78756877443362e-05,spherule_upreg,spherule_upreg
D8B26_007135,hypothetical protein,,,,,,,,,,ENOG410PV32,S,,,,,,,,,,,
D8B26_007136,hypothetical protein,,,,,,,,,,ENOG410PW7G,T,,,,CPSG_04478,CIMG_10062,1.11059238001085,0.00505481290304396,0.230548472892334,0.304802994627313,spherule_upreg,no upreg
D8B26_007137,hypothetical protein,,,,,,,,,,ENOG410PYCZ,T,,,,CPSG_04480,CIMG_10063,0.098566948323179,0.722746801038899,-0.00797672205621769,0.976439599840572,no upreg,no upreg
D8B26_007138,hypothetical protein,,PF01636,,,,,,,,ENOG410Q5H2,,,,,CPSG_04481,CIMG_07893,-0.0507828356203204,0.861514601162669,0.630847790782981,0.00632832121942786,no upreg,no upreg
D8B26_007139,hypothetical protein,,,,,,,,,,,,,,,CPSG_04482,,-3.6123981913309,0.00901360770904905,3.48339133723633,3.0128195860502e-05,hyphae_upreg,spherule_upreg
D8B26_007140,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_007141,hypothetical protein,,,,,,1 (o211-229i),,,,ENOG410PHZP,S,,,,,,,,,,,
D8B26_007142,hypothetical protein,,,,,,,,,,ENOG410PHZP,S,,,,,,,,,,,
D8B26_007143,hypothetical protein,,PF08227,, GO:0008608 - attachment of spindle microtubules to kinetochore,,,,,,ENOG410PSIN,S,,,,CPSG_04485,CIMG_12504,-2.06152856055672,0.00114842259058752,-1.19052379574373,5.31219388661563e-06,hyphae_upreg,hyphae_upreg
D8B26_007144,hypothetical protein,,PF02558;PF08546, GO:0016491 - oxidoreductase activity, GO:0055114 - oxidation-reduction process,,,,,,ENOG410PJ3K,S,2454at33183,,,CPSG_04486,CIMG_10067,1.64503937477379,0.00219210686505385,-0.174661074158615,0.694742741042041,spherule_upreg,no upreg
D8B26_007145,hypothetical protein,,,,,,1 (n31-43c61/62o77-96i),,,,,,,,,CPSG_04488,,0.942235742172456,0.198205143308481,3.4661358068029,1.3400038071565e-05,no upreg,spherule_upreg
D8B26_007146,Structural maintenance of chromosomes protein 5,SMC5,PF02463;PF13175;PF13476,, GO:0007062 - sister chromatid cohesion; GO:0006281 - DNA repair; GO:0000724 - double-strand break repair via homologous recombination, GO:0030915 - Smc5-Smc6 complex,,,,,ENOG410PGSX,"B,D,L",170904at4751;1105at33183,,,CPSG_04490,CIMG_10069,0.565737839388014,0.063754801726724,-0.33105892308818,0.0320903248755008,no upreg,no upreg
D8B26_007147,tRNA(Ser) Um(44) 2'-O-methyltransferase,TRM44,PF07757, GO:0008168 - methyltransferase activity,,,,,,,ENOG410PIV3,S,3877at33183,,,,,,,,,,
D8B26_007148,hypothetical protein,,,,,,,,,,ENOG410PTUH,,,,,,,,,,,,
D8B26_007149,hypothetical protein,,PF11578,,,,,,,,ENOG410PQSE,S,8944at33183,,,CPSG_04493,CIMG_10073,-0.334134642190912,0.190376166405198,-0.743720995616255,0.000186242659174101,no upreg,no upreg
D8B26_007150,hypothetical protein,,PF00120, GO:0004356 - glutamate-ammonia ligase activity; GO:0003824 - catalytic activity, GO:0006807 - nitrogen compound metabolic process; GO:0006542 - glutamine biosynthetic process,,,,,,ENOG410PFSC,E,5118at33183,,,CPSG_04494,CIMG_10075,0.0267678191823411,0.958881729111718,-1.13573117136364,0.000312682954492499,no upreg,hyphae_upreg
D8B26_007151,hypothetical protein,,PF00106;PF08659;PF13561, GO:0016491 - oxidoreductase activity,,,,,,,ENOG410PHDQ,Q,11300at33183,,,CPSG_04495,CIMG_10076,1.98263574247302,0.00175678786609659,-0.221145784558303,0.259035660464222,spherule_upreg,no upreg
D8B26_007152,hypothetical protein,,PF07690, GO:0022857 - transmembrane transporter activity, GO:0055085 - transmembrane transport,,12 (i64-82o102-122i129-151o157-179i191-210o222-242i289- 311o331-348i355-379o385-404i416-434o446-468i),,,,ENOG41KOG2533,G,,,,,,,,,,,
D8B26_007153,"SNAP receptor, synaptobrevin",SYB1,PF00957,, GO:0016192 - vesicle-mediated transport, GO:0016021 - integral component of membrane,1 (i92-113o),,,,ENOG410PR0D,U,,,,CPSG_04499,CIMG_10080,-0.0272937935404531,0.905338999376065,0.188586157078479,0.419843072621508,no upreg,no upreg
